rmsd_before=1.1879725621337223, rmsd_after=1.1824438317947454
rmsd_before=1.3663991268211406, rmsd_after=1.3014951034710218
rmsd_before=1.1159461600765717, rmsd_after=1.0586838681587332
rmsd_before=1.4453338613948001, rmsd_after=1.272152543953138
rmsd_before=1.3727898535965712, rmsd_after=1.0856851660740643
rmsd_before=1.7662533351234717, rmsd_after=1.380488175204173
rmsd_before=1.9207229167672342, rmsd_after=1.301813307253859
rmsd_before=2.180512524989724, rmsd_after=1.4916053168191459
rmsd_before=2.275898440599576, rmsd_after=1.3508160134612428
rmsd_before=2.4025321275552027, rmsd_after=1.4167054965915826
rmsd_before=2.4561077398508444, rmsd_after=1.242808797894581
rmsd_before=2.647856732343154, rmsd_after=1.330219043076544
rmsd_before=2.6683333881203732, rmsd_after=1.117673830153752
rmsd_before=3.001422655006694, rmsd_after=1.4110816723048552
rmsd_before=3.015738987105975, rmsd_after=1.1900031199761176
rmsd_before=3.3143983845918354, rmsd_after=1.4967124035326227
rmsd_before=3.3672461726745935, rmsd_after=1.263111988075781
rmsd_before=3.5447296441110216, rmsd_after=1.4371714165105454
rmsd_before=3.4094167581874526, rmsd_after=1.1890077431362527
rmsd_before=3.5759810355989474, rmsd_after=1.3158593470357391
rmsd_before=3.5576619688773783, rmsd_after=1.268135523755207
rmsd_before=3.618929673913489, rmsd_after=1.3456465893636373
rmsd_before=3.58590430604856, rmsd_after=1.2984112522044036
rmsd_before=3.6856040778062216, rmsd_after=1.4004257550833865
rmsd_before=3.6449000195024777, rmsd_after=1.3544122449130305
rmsd_before=3.748639318576933, rmsd_after=1.4397299836524906
rmsd_before=3.696315352093107, rmsd_after=1.3964963239775048
rmsd_before=3.7720528667873254, rmsd_after=1.4426176255298189
rmsd_before=3.6868943621847183, rmsd_after=1.403070195632149
rmsd_before=3.73169359693635, rmsd_after=1.4241462629091461
rmsd_before=3.6295455363846503, rmsd_after=1.3885168356565816
rmsd_before=3.6676264284966944, rmsd_after=1.421311172404621
rmsd_before=3.5767218101244413, rmsd_after=1.3878031306729595
rmsd_before=3.64156703597243, rmsd_after=1.4544487607066028
rmsd_before=3.579056312103212, rmsd_after=1.4192960658242506
rmsd_before=3.6841505724857018, rmsd_after=1.5076224143030472
rmsd_before=3.656204185523929, rmsd_after=1.4673838522871419
rmsd_before=3.7831949986744426, rmsd_after=1.5400516065149161
rmsd_before=3.776039436154055, rmsd_after=1.492672619651845
rmsd_before=3.8827577477410733, rmsd_after=1.5120702249526818
rmsd_before=3.857403843365336, rmsd_after=1.4606177807224925
rmsd_before=3.9035907164667707, rmsd_after=1.4254820696540424
rmsd_before=3.8524110903049684, rmsd_after=1.3802743939176159
rmsd_before=3.843890753281302, rmsd_after=1.339933091554272
rmsd_before=3.800121043792995, rmsd_after=1.308421233704026
rmsd_before=3.811435505186997, rmsd_after=1.329838762264507
rmsd_before=3.7755223083199425, rmsd_after=1.3074119655613599
rmsd_before=3.8953974216942338, rmsd_after=1.3920615075186418
rmsd_before=3.8212289705330016, rmsd_after=1.361561094469791
rmsd_before=4.139863733755452, rmsd_after=1.5174707602632138
rmsd_before=4.056923683562117, rmsd_after=1.399967588855274
rmsd_before=4.406864073658372, rmsd_after=1.5622813743071622
rmsd_before=4.363196627858524, rmsd_after=1.4455422463918113
rmsd_before=4.730464580602886, rmsd_after=1.6099236539313349
rmsd_before=4.730919612742408, rmsd_after=1.4935601865735035
rmsd_before=5.104450313914053, rmsd_after=1.6557028403932466
rmsd_before=5.14713409373205, rmsd_after=1.5391084818697809
rmsd_before=5.519989964669704, rmsd_after=1.6953457222092378
rmsd_before=5.600414857167258, rmsd_after=1.5774709874371016
rmsd_before=5.969301203146129, rmsd_after=1.7252403748028815
rmsd_before=6.082312119243688, rmsd_after=1.603651662869753
rmsd_before=6.446248983167762, rmsd_after=1.7426178490966986
rmsd_before=6.586845270293268, rmsd_after=1.608015444961379
rmsd_before=6.945717217440142, rmsd_after=1.733973702930211
rmsd_before=7.109343125668032, rmsd_after=1.5861985809619241
rmsd_before=7.462776311669889, rmsd_after=1.7042217420590047
rmsd_before=7.645346646873522, rmsd_after=1.5496061093575433
rmsd_before=7.9921381892953125, rmsd_after=1.6633085697933505
rmsd_before=8.189840450801345, rmsd_after=1.503215121988303
rmsd_before=8.528047096376442, rmsd_after=1.6133590669023836
rmsd_before=8.736314000613469, rmsd_after=1.450741216156605
rmsd_before=9.06426435827487, rmsd_after=1.5579051779310187
rmsd_before=9.272271798468136, rmsd_after=1.396935554147562
rmsd_before=9.590710292763085, rmsd_after=1.5022373655182018
rmsd_before=9.791846082544748, rmsd_after=1.3479213286362202
rmsd_before=10.097212047871947, rmsd_after=1.4533600580553836
rmsd_before=10.30569908676029, rmsd_after=1.3107729583219265
rmsd_before=10.598058766224405, rmsd_after=1.4191638230288344
rmsd_before=10.817806065265502, rmsd_after=1.292253453381088
rmsd_before=11.10099033881766, rmsd_after=1.4066249374035893
rmsd_before=11.331811596872296, rmsd_after=1.2967980892968027
rmsd_before=11.611741775131472, rmsd_after=1.419371957902158
rmsd_before=11.852816173202417, rmsd_after=1.3216788692455124
rmsd_before=12.13651589763375, rmsd_after=1.4543054332533403
rmsd_before=12.38679537343056, rmsd_after=1.336922668559807
rmsd_before=12.681089853897582, rmsd_after=1.485610954470668
rmsd_before=12.939454442522354, rmsd_after=1.3667026591868374
rmsd_before=13.24959522276615, rmsd_after=1.5219835644060793
rmsd_before=13.514984851774228, rmsd_after=1.4084844127565899
rmsd_before=13.843526628903309, rmsd_after=1.5666843470764635
rmsd_before=14.115041623219783, rmsd_after=1.4571225403405221
rmsd_before=14.461221358370283, rmsd_after=1.61503278015818
rmsd_before=14.738133274286866, rmsd_after=1.5071585714755225
rmsd_before=15.097826049493648, rmsd_after=1.6617902009644898
rmsd_before=15.379441239145482, rmsd_after=1.553364249940764
rmsd_before=15.745714891231314, rmsd_after=1.7018250295344415
rmsd_before=16.031020600978458, rmsd_after=1.5910837647311513
rmsd_before=16.39528510176013, rmsd_after=1.7304936955055494
rmsd_before=16.682410921740576, rmsd_after=1.616475884833355
rmsd_before=17.035997368306738, rmsd_after=1.7426015854201171
rmsd_before=17.32308078526458, rmsd_after=1.6036744414244557
rmsd_before=17.65882634135653, rmsd_after=1.7203727491774305
rmsd_before=17.615740023443504, rmsd_after=1.7021967391306023
rmsd_before=17.517328259230247, rmsd_after=1.5811497942259825
rmsd_before=17.525875889535836, rmsd_after=1.5723752889413987
rmsd_before=17.371381267978737, rmsd_after=1.4506451772596172
rmsd_before=17.34034341160269, rmsd_after=1.5830719515557823
rmsd_before=17.208144970794024, rmsd_after=1.4084488160337334
rmsd_before=17.123349611307297, rmsd_after=1.5256171153382578
rmsd_before=17.118101445107065, rmsd_after=1.4945885374965036
rmsd_before=16.986812293871488, rmsd_after=1.6273952172658919
rmsd_before=17.035048504143703, rmsd_after=1.6412706656644132
rmsd_before=16.92268709293406, rmsd_after=1.7353394332097782
rmsd_before=16.84957792257102, rmsd_after=1.6277957594683112
rmsd_before=16.806767223293054, rmsd_after=1.7601126845092052
rmsd_before=16.600866466231828, rmsd_after=1.5526816917634167
rmsd_before=16.602835514765705, rmsd_after=1.7080288677719417
rmsd_before=16.40307601755508, rmsd_after=1.4906067159267649
rmsd_before=16.396637645039906, rmsd_after=1.6526202324305288
rmsd_before=16.279104524242967, rmsd_after=1.5198613826357872
rmsd_before=16.24949688055858, rmsd_after=1.68105330007857
rmsd_before=16.203156354019708, rmsd_after=1.6293195865729806
rmsd_before=16.184689710035816, rmsd_after=1.7749845084263525
rmsd_before=16.214558743790857, rmsd_after=1.7272112017865369
rmsd_before=16.23929567983289, rmsd_after=1.790813943447729
rmsd_before=16.31740474240361, rmsd_after=1.6721428462158463
rmsd_before=16.351372038066323, rmsd_after=1.789613758006969
rmsd_before=16.34962353954328, rmsd_after=1.5825267371136738
rmsd_before=16.371011441137117, rmsd_after=1.7320572367446987
rmsd_before=16.22038985579181, rmsd_after=1.5017908030851501
rmsd_before=16.2062161010919, rmsd_after=1.6130709848950213
rmsd_before=16.450265273131734, rmsd_after=1.8702384852285776
